canonical_id,item_type,size_nb_mm,size_inch,dn_code,pressure_class,metallurgy,facing_end,standard,canonical_description,unspsc_code,gem_category_id
CAN-000001,FLANGE_WELD_NECK,15.0,"1/2""",DN15,150,ASTM A105,RF,ASME B16.5,"FLANGE, WELD NECK, 1/2"" (DN15), CLASS 150, ASTM A105, RF FACING, ASME B16.5",40171501,GEM-FLANGE-WN
CAN-000002,FLANGE_WELD_NECK,15.0,"1/2""",DN15,150,ASTM A105,RTJ,ASME B16.5,"FLANGE, WELD NECK, 1/2"" (DN15), CLASS 150, ASTM A105, RTJ FACING, ASME B16.5",40171501,GEM-FLANGE-WN
CAN-000003,FLANGE_WELD_NECK,15.0,"1/2""",DN15,150,ASTM A350 LF2,RF,ASME B16.5,"FLANGE, WELD NECK, 1/2"" (DN15), CLASS 150, ASTM A350 LF2, RF FACING, ASME B16.5",40171501,GEM-FLANGE-WN
CAN-000004,FLANGE_WELD_NECK,15.0,"1/2""",DN15,150,ASTM A350 LF2,RTJ,ASME B16.5,"FLANGE, WELD NECK, 1/2"" (DN15), CLASS 150, ASTM A350 LF2, RTJ FACING, ASME B16.5",40171501,GEM-FLANGE-WN
CAN-000005,FLANGE_WELD_NECK,15.0,"1/2""",DN15,150,ASTM A182 F304,RF,ASME B16.5,"FLANGE, WELD NECK, 1/2"" (DN15), CLASS 150, ASTM A182 F304, RF FACING, ASME B16.5",40171501,GEM-FLANGE-WN
CAN-000006,FLANGE_WELD_NECK,15.0,"1/2""",DN15,150,ASTM A182 F304,RTJ,ASME B16.5,"FLANGE, WELD NECK, 1/2"" (DN15), CLASS 150, ASTM A182 F304, RTJ FACING, ASME B16.5",40171501,GEM-FLANGE-WN
CAN-000007,FLANGE_WELD_NECK,15.0,"1/2""",DN15,150,ASTM A182 F316,RF,ASME B16.5,"FLANGE, WELD NECK, 1/2"" (DN15), CLASS 150, ASTM A182 F316, RF FACING, ASME B16.5",40171501,GEM-FLANGE-WN
CAN-000008,FLANGE_WELD_NECK,15.0,"1/2""",DN15,150,ASTM A182 F316,RTJ,ASME B16.5,"FLANGE, WELD NECK, 1/2"" (DN15), CLASS 150, ASTM A182 F316, RTJ FACING, ASME B16.5",40171501,GEM-FLANGE-WN
CAN-000009,FLANGE_WELD_NECK,15.0,"1/2""",DN15,300,ASTM A105,RF,ASME B16.5,"FLANGE, WELD NECK, 1/2"" (DN15), CLASS 300, ASTM A105, RF FACING, ASME B16.5",40171501,GEM-FLANGE-WN
CAN-000010,FLANGE_WELD_NECK,15.0,"1/2""",DN15,300,ASTM A105,RTJ,ASME B16.5,"FLANGE, WELD NECK, 1/2"" (DN15), CLASS 300, ASTM A105, RTJ FACING, ASME B16.5",40171501,GEM-FLANGE-WN
CAN-000011,FLANGE_WELD_NECK,15.0,"1/2""",DN15,300,ASTM A350 LF2,RF,ASME B16.5,"FLANGE, WELD NECK, 1/2"" (DN15), CLASS 300, ASTM A350 LF2, RF FACING, ASME B16.5",40171501,GEM-FLANGE-WN
CAN-000012,FLANGE_WELD_NECK,15.0,"1/2""",DN15,300,ASTM A350 LF2,RTJ,ASME B16.5,"FLANGE, WELD NECK, 1/2"" (DN15), CLASS 300, ASTM A350 LF2, RTJ FACING, ASME B16.5",40171501,GEM-FLANGE-WN
CAN-000013,FLANGE_WELD_NECK,15.0,"1/2""",DN15,300,ASTM A182 F304,RF,ASME B16.5,"FLANGE, WELD NECK, 1/2"" (DN15), CLASS 300, ASTM A182 F304, RF FACING, ASME B16.5",40171501,GEM-FLANGE-WN
CAN-000014,FLANGE_WELD_NECK,15.0,"1/2""",DN15,300,ASTM A182 F304,RTJ,ASME B16.5,"FLANGE, WELD NECK, 1/2"" (DN15), CLASS 300, ASTM A182 F304, RTJ FACING, ASME B16.5",40171501,GEM-FLANGE-WN
CAN-000015,FLANGE_WELD_NECK,15.0,"1/2""",DN15,300,ASTM A182 F316,RF,ASME B16.5,"FLANGE, WELD NECK, 1/2"" (DN15), CLASS 300, ASTM A182 F316, RF FACING, ASME B16.5",40171501,GEM-FLANGE-WN
CAN-000016,FLANGE_WELD_NECK,15.0,"1/2""",DN15,300,ASTM A182 F316,RTJ,ASME B16.5,"FLANGE, WELD NECK, 1/2"" (DN15), CLASS 300, ASTM A182 F316, RTJ FACING, ASME B16.5",40171501,GEM-FLANGE-WN
CAN-000017,FLANGE_WELD_NECK,15.0,"1/2""",DN15,600,ASTM A105,RF,ASME B16.5,"FLANGE, WELD NECK, 1/2"" (DN15), CLASS 600, ASTM A105, RF FACING, ASME B16.5",40171501,GEM-FLANGE-WN
CAN-000018,FLANGE_WELD_NECK,15.0,"1/2""",DN15,600,ASTM A105,RTJ,ASME B16.5,"FLANGE, WELD NECK, 1/2"" (DN15), CLASS 600, ASTM A105, RTJ FACING, ASME B16.5",40171501,GEM-FLANGE-WN
CAN-000019,FLANGE_WELD_NECK,15.0,"1/2""",DN15,600,ASTM A350 LF2,RF,ASME B16.5,"FLANGE, WELD NECK, 1/2"" (DN15), CLASS 600, ASTM A350 LF2, RF FACING, ASME B16.5",40171501,GEM-FLANGE-WN
CAN-000020,FLANGE_WELD_NECK,15.0,"1/2""",DN15,600,ASTM A350 LF2,RTJ,ASME B16.5,"FLANGE, WELD NECK, 1/2"" (DN15), CLASS 600, ASTM A350 LF2, RTJ FACING, ASME B16.5",40171501,GEM-FLANGE-WN
CAN-000021,FLANGE_WELD_NECK,15.0,"1/2""",DN15,600,ASTM A182 F304,RF,ASME B16.5,"FLANGE, WELD NECK, 1/2"" (DN15), CLASS 600, ASTM A182 F304, RF FACING, ASME B16.5",40171501,GEM-FLANGE-WN
CAN-000022,FLANGE_WELD_NECK,15.0,"1/2""",DN15,600,ASTM A182 F304,RTJ,ASME B16.5,"FLANGE, WELD NECK, 1/2"" (DN15), CLASS 600, ASTM A182 F304, RTJ FACING, ASME B16.5",40171501,GEM-FLANGE-WN
