sku_code,cpse_name,depot_location,raw_description,quantity,unit_cost_inr,days_idle,po_no,heat_no,standard,hsn_code,gem_category,mesc_code,cppp_tender_id
IOCL-STU-00001,IOCL,"Mathura Refinery, Uttar Pradesh",STUD BLT 3/4IN X 150MM ASTM A320 L7 W/ 7 NUTS,141,1622.25,21,IOCL/PO/2024/198246,HT-B40495,ASME B16.5,73181500,GeM/CAT/FASTENERS/STUD_BOLTS/B16.5,81.30.74.87.127.1,CPPP/2025/IOCL_688508
IOCL-CHE-00002,IOCL,"Bongaigaon Refinery, Assam",VLV CHK 20IN 300# ASTM A105 TR12 RF,89,23381.86,174,IOCL/PO/2024/207175,HT-A59797,API 594,84813000,GeM/CAT/VALVES/CHECK/API594,77.14.22.55.967.1,CPPP/2025/IOCL_460663
IOCL-RED-00003,IOCL,"Barauni Refinery, Bihar",RED CONC 4IN SCH 160 ASTM A403 WP316L,160,4552.93,56,IOCL/PO/2024/148050,HT-B47930,ASME B16.9,73079310,GeM/CAT/FITTINGS/BUTTWELD/B16.9,74.10.20.39.987.1,CPPP/2025/IOCL_205907
IOCL-PIP-00004,IOCL,"Barauni Refinery, Bihar",PIPE ERW 3IN SCH 40 API 5L X65 BE,176,10207.74,912,IOCL/PO/2024/356702,HT-B70589,API 5L PSL2,73041910,GeM/CAT/PIPES/SEAMLESS/ASME,60.15.58.44.755.1,CPPP/2025/IOCL_821590
IOCL-TEE-00005,IOCL,"Paradip Refinery, Odisha",TEE EQ 20IN SCH 40 ASTM A234 WPB,18,4307.39,583,IOCL/PO/2024/623481,HT-X94259,ASME B16.9,73079310,GeM/CAT/FITTINGS/BUTTWELD/B16.9,74.10.68.28.371.1,CPPP/2025/IOCL_246413
IOCL-CHE-00006,IOCL,"Bongaigaon Refinery, Assam",VLV CHK 1.5IN 300# ASTM A105 TR16 RF,25,21542.88,522,IOCL/PO/2024/267753,HT-X88172,API 6D,84813000,GeM/CAT/VALVES/CHECK/API594,77.14.18.59.490.1,CPPP/2025/IOCL_724834
IOCL-ELB-00007,IOCL,"Bongaigaon Refinery, Assam",ELB 90 LR 12IN SCH 160 ASTM A234 WPB,166,3921.4,152,IOCL/PO/2024/265840,HT-X10425,ASME B16.9,73079310,GeM/CAT/FITTINGS/BUTTWELD/B16.9,74.10.43.74.880.1,CPPP/2025/IOCL_287330
IOCL-TEE-00008,IOCL,"Mathura Refinery, Uttar Pradesh",TEE EQ 1IN SCH 160 ASTM A403 WP304L,140,5048.15,95,IOCL/PO/2024/612340,HT-A24662,ASME B16.9,73079310,GeM/CAT/FITTINGS/BUTTWELD/B16.9,74.10.56.49.345.1,CPPP/2025/IOCL_160738
IOCL-CHE-00009,IOCL,"Mathura Refinery, Uttar Pradesh",VLV CHK 20IN 300# ASTM A105 RF,123,17826.82,637,IOCL/PO/2024/736059,HT-X37760,BS 1868,84813000,GeM/CAT/VALVES/CHECK/API594,77.14.79.98.305.1,CPPP/2025/IOCL_847581
IOCL-BAL-00010,IOCL,"Digboi Refinery, Assam",VLV BL 6IN 150# ASTM A351 CF8M 316SS/PEEK RF,7,55037.61,85,IOCL/PO/2024/107540,HT-A92719,API 607,84818030,GeM/CAT/VALVES/BALL/API6D,77.16.17.39.169.1,CPPP/2025/IOCL_132938
IOCL-PSV-00011,IOCL,"Guwahati Refinery, Assam",VLV PSV FLG 12IN 900# ORIFICE-G ASTM A216 WCB,148,58220.08,337,IOCL/PO/2024/946721,HT-X34957,ASME SEC VIII,84814000,GeM/CAT/VALVES/SAFETY_RELIEF/API526,77.40.22.22.774.1,CPPP/2025/IOCL_551989
IOCL-BUT-00012,IOCL,"Digboi Refinery, Assam",VLV BFV 1/2IN 900# ASTM A352 LCB SS316+STELLITE RTJ,29,33994.99,560,IOCL/PO/2024/570405,HT-B65296,API 609,84818030,GeM/CAT/VALVES/BUTTERFLY/API609,77.18.33.45.573.1,CPPP/2025/IOCL_361941
IOCL-PSV-00013,IOCL,"Mathura Refinery, Uttar Pradesh",VLV PSV FLG 12IN 1500# ORIFICE-T ASTM A216 WCB,25,44583.7,180,IOCL/PO/2024/604740,HT-B62565,API 526,84814000,GeM/CAT/VALVES/SAFETY_RELIEF/API526,77.40.17.31.488.1,CPPP/2025/IOCL_102260
IOCL-PIP-00014,IOCL,"Barauni Refinery, Bihar",PIPE ERW 16IN SCH 80 ASTM A312 TP316L BE,77,7882.89,959,IOCL/PO/2024/668532,HT-A51104,API 5L PSL2,73041910,GeM/CAT/PIPES/SEAMLESS/ASME,60.15.17.16.698.1,CPPP/2025/IOCL_599948
IOCL-TEE-00015,IOCL,"Bongaigaon Refinery, Assam",TEE EQ 10IN SCH 40 ASTM A234 WPB,32,3967.17,958,IOCL/PO/2024/141672,HT-Z20745,ASME B16.9,73079310,GeM/CAT/FITTINGS/BUTTWELD/B16.9,74.10.63.94.697.1,CPPP/2025/IOCL_692683
IOCL-TEE-00016,IOCL,"Guwahati Refinery, Assam",TEE EQ 1.5IN SCH 160 ASTM A420 WPL6,173,4296.36,48,IOCL/PO/2024/109767,HT-X91416,ASME B16.9,73079310,GeM/CAT/FITTINGS/BUTTWELD/B16.9,74.10.82.22.175.1,CPPP/2025/IOCL_663750
IOCL-CHE-00017,IOCL,"Bongaigaon Refinery, Assam",VLV CHK 3IN 600# ASTM A351 CF8M TR1 RF,141,43471.28,1049,IOCL/PO/2024/413921,HT-A27601,API 594,84813000,GeM/CAT/VALVES/CHECK/API594,77.14.43.24.209.1,CPPP/2025/IOCL_878480
IOCL-TEE-00018,IOCL,"Koyali Refinery, Gujarat",TEE EQ 1.5IN SCH 160 ASTM A420 WPL6,69,4785.19,74,IOCL/PO/2024/196781,HT-X46265,ASME B16.9,73079310,GeM/CAT/FITTINGS/BUTTWELD/B16.9,74.10.15.10.441.1,CPPP/2025/IOCL_908577
